No,Name,Country
1,Elon Musk,US
2,Bernard Arnault,France
3,Gautam Adani,India
4,Jeff Bezos,US
5,Bill Gates,US
6,Warren Buffett,US
7,Larry Ellison,US
8,Mukesh Ambani,India
9,Larry Page,US
10,Sergey Brin,US
